C:\\Users\\test\\wav\\tel_0001.wav,ఆ తరువాత హైదరాబాదుకు బదిలీ అయ్యాడు 
C:\\Users\\test\\wav\\tel_0002.wav,ఈ గ్రామంలో ప్రజల ప్రధాన వృత్తి వ్యవసాయం 
C:\\Users\\test\\wav\\tel_0003.wav,కుత్బుల్లాపూర్‌ ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని రంగారెడ్డి జిల్లాకు చెందిన ఒక మండలము 
C:\\Users\\test\\wav\\tel_0004.wav,జ్ఞానపీఠ పురస్కారం గ్రహీత విశ్వనాథ సత్యనారాయణ 
C:\\Users\\test\\wav\\tel_0005.wav,ఈ గ్రామము కోస్గి నుంచి మద్దూరు వెళ్ళు మార్గములో కలదు 
C:\\Users\\test\\wav\\tel_0006.wav,ఇక్కడ కేవలం ఐదవ తరగతి వరకు మాత్రమే పాఠశాల సౌకర్యం ఉంది 
C:\\Users\\test\\wav\\tel_0007.wav,వికీపీడియా సభ్యులు రవిచంద్ర మరియు కాసుబాబు మరియు వికీపీడియా యొక్క అజ్ఞాత సభ్యులు యొక్క కృతిపై ఆధారితం 
C:\\Users\\test\\wav\\tel_0008.wav, రైలు రవాణా వ్యవస్థ పరిమాణం క్రమంలో  దేశాల జాబితా ఇక్కడ ఇవ్వబడింది 
C:\\Users\\test\\wav\\tel_0009.wav,హిందూ సంఘం ఒక కులాల కూటమి 
C:\\Users\\test\\wav\\tel_0010.wav,దయచేసి ఏదో ఒక పేజీకి లింకు పెట్టండి 
C:\\Users\\test\\wav\\tel_0011.wav,జిల్లాలో ముఖ్యమైన గ్రామాలలో ఇది ఒకటి 
C:\\Users\\test\\wav\\tel_0012.wav,దీని ద్వారా చుట్టు ప్రక్కల పది గ్రామాలకు నీటి సరఫరా జరుగుతున్నది 
C:\\Users\\test\\wav\\tel_0013.wav,ఒక వ్యాసం సృష్టి మరియు లేదా విస్తరణ 
C:\\Users\\test\\wav\\tel_0014.wav,ఇక్కడికి ఢిల్లీ బెంగళూరు హైదరాబాదు నుండి నేరుగా విమాన సేవలు ఉన్నాయి 
C:\\Users\\test\\wav\\tel_0015.wav,ఉదాహరణకు వికీపీడియా:తొలగింపు కొరకు వ్యాసాలు పేజీలో జరిగే చర్చ 
C:\\Users\\test\\wav\\tel_0016.wav,నాకు ఛాలా ఆనందం గా వుంది 
C:\\Users\\test\\wav\\tel_0017.wav,అలాగే బొమ్మలు ఎలా అప్లోడు చెయ్యాలి  
C:\\Users\\test\\wav\\tel_0018.wav,బొమ్మలు వాడే విధానం పేజీలను ఒక సారి చదవండి 
C:\\Users\\test\\wav\\tel_0019.wav,ఈ ఊరు విజయవాడ కు చాలా దగ్గర 
C:\\Users\\test\\wav\\tel_0020.wav,దీనినే ప్రస్తుతం పాత మస్కట్ లేదా పాత నగరం అని కూడా అంటారు 
